congruency,veracity,ano_true_false_unsure,said_yes,prop_yes,ResponseId,Group,Condition
incongruent,True,false,0,0.0,R_3rOfvXevLU1maKd,Share,Control
incongruent,True,unsure,0,0.0,R_3rOfvXevLU1maKd,Share,Control
congruent,False,false,1,0.125,R_6MtvAdy4MdUXzEZ,Belief,Control
congruent,False,unsure,2,1.0,R_6MtvAdy4MdUXzEZ,Belief,Control
congruent,True,false,2,1.0,R_6MtvAdy4MdUXzEZ,Belief,Control
congruent,True,true,3,1.0,R_6MtvAdy4MdUXzEZ,Belief,Control
congruent,True,unsure,4,0.8,R_6MtvAdy4MdUXzEZ,Belief,Control
incongruent,False,false,0,0.0,R_6MtvAdy4MdUXzEZ,Belief,Control
incongruent,True,false,1,0.5,R_6MtvAdy4MdUXzEZ,Belief,Control
incongruent,True,unsure,5,0.625,R_6MtvAdy4MdUXzEZ,Belief,Control
congruent,False,false,0,0.0,R_3MDlwoF3R12gVdH,Share,Forced
congruent,False,unsure,0,0.0,R_3MDlwoF3R12gVdH,Share,Forced
congruent,True,false,0,0.0,R_3MDlwoF3R12gVdH,Share,Forced
congruent,True,true,0,0.0,R_3MDlwoF3R12gVdH,Share,Forced
congruent,True,unsure,0,0.0,R_3MDlwoF3R12gVdH,Share,Forced
incongruent,False,false,0,0.0,R_3MDlwoF3R12gVdH,Share,Forced
incongruent,True,false,0,0.0,R_3MDlwoF3R12gVdH,Share,Forced
incongruent,True,unsure,0,0.0,R_3MDlwoF3R12gVdH,Share,Forced
congruent,False,false,1,0.1,R_CdKr23CLcf31b2h,Belief,Forced
congruent,True,false,1,0.5,R_CdKr23CLcf31b2h,Belief,Forced
congruent,True,unsure,6,0.75,R_CdKr23CLcf31b2h,Belief,Forced
incongruent,False,false,0,0.0,R_CdKr23CLcf31b2h,Belief,Forced
incongruent,False,unsure,0,0.0,R_CdKr23CLcf31b2h,Belief,Forced
incongruent,True,false,1,0.5,R_CdKr23CLcf31b2h,Belief,Forced
incongruent,True,true,3,1.0,R_CdKr23CLcf31b2h,Belief,Forced
incongruent,True,unsure,3,0.6,R_CdKr23CLcf31b2h,Belief,Forced
