Group,option_cond,veracity,w_mean,w_95_ci,ano_true_false_unsure
Belief,Opt_in,True,0.8371040723981901,0.03930995475113125,true
Belief,Opt_in,False,0.0,0.0,true
Belief,Opt_out,True,0.7624633431085044,0.05480607827546602,true
Belief,Opt_out,False,0.0,0.0,true
Share,Opt_in,True,0.6153846153846154,0.058131973674475035,true
Share,Opt_in,False,0.0,0.0,true
Share,Opt_out,True,0.22077922077922077,0.06365496391164142,true
Share,Opt_out,False,0.0,0.0,true
Belief,Opt_in,True,0.47413793103448276,0.06315121133155763,false
Belief,Opt_in,False,0.4323744096178617,0.06482370613708688,false
Belief,Opt_out,True,0.6400862068965517,0.055813270208255994,false
Belief,Opt_out,False,0.13887716336006753,0.033843692341541436,false
Share,Opt_in,True,0.49691358024691357,0.06563215920209403,false
Share,Opt_in,False,0.5225591715976331,0.06485914959793126,false
Share,Opt_out,True,0.20297029702970298,0.05905617761322886,false
Share,Opt_out,False,0.14630541871921182,0.04578106122206083,false
Belief,Opt_in,True,0.7224759005580923,0.03538368704917394,unsure
Belief,Opt_in,False,0.504950495049505,0.06379449854537761,unsure
Belief,Opt_out,True,0.6673699015471167,0.044657428678588185,unsure
Belief,Opt_out,False,0.2237442922374429,0.06537673244422985,unsure
Share,Opt_in,True,0.5845136921624173,0.058342855517374115,unsure
Share,Opt_in,False,0.5335463258785943,0.06928858369523411,unsure
Share,Opt_out,True,0.24212144504227517,0.056147572778519866,unsure
Share,Opt_out,False,0.1596244131455399,0.06089418969303013,unsure
