Group,Condition,v_split_by_cgpt,mean_said_yes,ci_said_yes,ground_truth,cGPT_thinks
Belief,Control,False_False,0.3045182111572153,0.045876556016597514,False,False
Belief,Control,False_Unsure,0.32987551867219916,0.0529045643153527,False,Unsure
Belief,Control,True_False,0.6649377593360996,0.04046939834024882,True,False
Belief,Control,True_True,0.7524204702627939,0.038727524204702546,True,True
Belief,Control,True_Unsure,0.6986913501436323,0.031443504628151875,True,Unsure
Belief,Forced,False_False,0.3259109311740891,0.047236279802069236,False,False
Belief,Forced,False_Unsure,0.42105263157894735,0.05060728744939272,False,Unsure
Belief,Forced,True_False,0.5374493927125507,0.04251012145748986,True,False
Belief,Forced,True_True,0.7935222672064778,0.03306342780026994,True,True
Belief,Forced,True_Unsure,0.7028962939894113,0.026782933665524755,True,Unsure
Belief,Optional,False_False,0.28437633035334187,0.04331896551724139,False,False
Belief,Optional,False_Unsure,0.38697318007662834,0.0507662835249042,False,Unsure
Belief,Optional,True_False,0.5478927203065134,0.043103448275862044,True,False
Belief,Optional,True_True,0.8045977011494253,0.032567049808429116,True,True
Belief,Optional,True_Unsure,0.6993810786914235,0.02888299440023573,True,Unsure
Share,Control,False_False,0.36433624635871825,0.04421556387848524,False,False
Share,Control,False_Unsure,0.3539325842696629,0.05243445692883894,False,Unsure
Share,Control,True_False,0.42696629213483145,0.046360018726591706,True,False
Share,Control,True_True,0.41323345817727836,0.048689138576779034,True,True
Share,Control,True_Unsure,0.4624027657735523,0.04437121866897145,True,Unsure
Share,Forced,False_False,0.43102023957042546,0.04915582403965296,False,False
Share,Forced,False_Unsure,0.4516728624535316,0.054855947955390255,False,Unsure
Share,Forced,True_False,0.46189591078066916,0.05018587360594795,True,False
Share,Forced,True_True,0.5241635687732342,0.05204460966542748,True,True
Share,Forced,True_Unsure,0.526737203317129,0.04661853016871603,True,Unsure
Share,Optional,False_False,0.3612167300380228,0.049326679340937846,False,False
Share,Optional,False_Unsure,0.3821292775665399,0.05418250950570344,False,Unsure
Share,Optional,True_False,0.3840304182509506,0.05228136882129278,True,False
Share,Optional,True_True,0.46134347275031684,0.05133079847908742,True,True
Share,Optional,True_Unsure,0.454226381983036,0.047682070780930036,True,Unsure
